Wavelength (nm)	Reflectance (%)	Transmittance (%)	Density 
 400	 59.7276076331108	 40.2644412233077	 .39507832352593
 400.2	 58.9463432193101	 41.0456284265345	 .386733090708547
 400.4	 58.1647324757842	 41.8271648168599	 .378541572333616
 400.6	 57.3855567096764	 42.6062696221317	 .370526488644992
 400.8	 56.6118003945815	 43.3799589214633	 .362710863575635
 401	 55.8466375292277	 44.1450592820852	 .355117895633355
 401.2	 55.0934128729774	 44.8982265185792	 .347770813304168
 401.4	 54.3556178104781	 45.6359698221836	 .340692715727739
 401.6	 53.6368607441812	 46.354681361505	 .333906399883993
 401.8	 52.9408320903717	 47.0506712790769	 .327434176047155
 402	 52.2712641575727	 47.7202078050253	 .321297673795089
 402.2	 51.6318864087459	 48.3595619865714	 .315517641386049
 402.4	 51.0263768408362	 48.9650563000162	 .310113741805864
 402.6	 50.4583104447189	 49.5331161823629	 .305104349218556
 402.8	 49.9311059213642	 50.060323307003	 .300506349893718
 403	 49.4479720109515	 50.5434692469863	 .296334951907337
 403.2	 49.0118549258341	 50.9796080352282	 .292603507995663
 403.4	 48.6253884523154	 51.3661060569371	 .289323355865759
 403.6	 48.290848289769	 51.7006877059533	 .286503680021835
 403.8	 48.0101121225497	 51.9814753097343	 .284151398752198
 404	 47.7846267694797	 52.2070219783473	 .282271079347371
 404.2	 47.615383532262	 52.3763362561969	 .280864883905556
 404.4	 47.5029025785042	 52.48889774083	 .279932547256655
 404.6	 47.4472268627135	 52.5446631654152	 .279471387637862
 404.8	 47.4479249918706	 52.5440143676595	 .279476750142973
 405	 47.5041055200423	 52.4878425074889	 .279941278372063
 405.2	 47.6144393165009	 52.3775256850661	 .280855021502682
 405.4	 47.7771879765298	 52.2148020383124	 .282206364195155
 405.6	 47.9902413084303	 52.0017814351123	 .283981778400063
 405.8	 48.2511596991326	 51.7409031142035	 .286165995138375
 406	 48.5572205642249	 51.4348892422733	 .288742191019835
 406.2	 48.9054673866702	 51.0866958827646	 .291692185129169
 406.4	 49.2927598746657	 50.6994628457112	 .294996641936474
 406.6	 49.7158238577393	 50.2764637992943	 .298635276062866
 406.8	 50.1712996798041	 49.8210578842114	 .302587055033199
 407	 50.655788025143	 49.3366438947206	 .306830396548282
 407.2	 51.1658923141127	 48.8266178894385	 .311343357280985
 407.4	 51.6982570162593	 48.294334884102	 .316103810715803
 407.6	 52.2496014374175	 47.7430750696497	 .321089612083119
 407.8	 52.8167487342214	 47.1760148021611	 .326278748964016
 408	 53.3966500866758	 46.596202433992	 .331649476639766
 408.2	 53.9864041118853	 46.0065389030225	 .337180437716688
