Wavelength (nm)	Reflectance (%)	Transmittance (%)	Density 
 400	 90.8003126495886	 9.19787101609148	 1.03631268493294
 400.2	 90.6156808335094	 9.38248398925578	 1.02768216801627
 400.4	 90.4247192297354	 9.57342621532814	 1.01893260557606
 400.6	 90.227230665747	 9.77089486453517	 1.01006565972722
 400.8	 90.0230124926731	 9.97509258388772	 1.0010830647154
 401	 89.8118566443597	 10.1862274381737	 .991986631120663
 401.2	 89.5935497246439	 10.4045128227516	 .982778250228331
 401.4	 89.3678731262402	 10.6301673447354	 .973459898569545
 401.6	 89.1346031849374	 10.863414668874	 .964033642633383
 401.8	 88.893511373093	 11.1044833241388	 .954501643751766
 402	 88.6443645367205	 11.3536064667246	 .944866163157276
 402.2	 88.3869251807751	 11.6110215948564	 .935129567213188
 402.4	 88.1209518075693	 11.876970210474	 .925294332813558
 402.6	 87.8461993135657	 12.1516974225444	 .915363052950022
 402.8	 87.5624194501223	 12.4354514864288	 .905338442440271
 403	 87.2693613540776	 12.7284832734171	 .895223343811363
 403.2	 86.9667721543679	 13.0310456642348	 .885020733329154
 403.4	 86.6543976611549	 13.3433928600495	 .874733727162643
 403.6	 86.3319831441953	 13.6657796042391	 .864365587669722
 403.8	 85.9992742074108	 13.9984603079689	 .85391972978788
 404	 85.6560177667788	 14.3416880724531	 .843399727510326
 404.2	 85.3019631387869	 14.6957136006606	 .832809320424671
 404.4	 84.9368632467153	 15.0607839911965	 .822152420287482
 404.6	 84.5604759519665	 15.4371414071451	 .811433117603994
 404.8	 84.1725767285704	 15.8249955944672	 .800656402214169
 405	 83.7729386290727	 16.2245724113416	 .789826739941574
 405.2	 83.361332741593	 16.6361151813165	 .778948081428225
 405.4	 82.9375527477878	 17.0598301911246	 .768025295995261
 405.6	 82.501406029661	 17.4959100292529	 .757063463275144
 405.8	 82.0527158824965	 17.9445313733508	 .746067878909192
 406	 81.5913238896921	 18.4058526157586	 .735044059893892
 406.2	 81.1170924603947	 18.880011326263	 .723997749501296
 406.4	 80.6299075289382	 19.3671215530717	 .712934921692384
 406.6	 80.1296814128713	 19.8672709652257	 .701861784935556
 406.8	 79.6163558237837	 20.3805178422324	 .690784785336125
 407	 79.089905022205	 20.9068879196527	 .679710608976197
 407.2	 78.550339104526	 21.4463711026822	 .6686461833585
 407.4	 77.9977074061965	 21.9989180634757	 .657598677842191
