Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)
 400 	 90.7316138052836 	 400 	 90.4417061298384 	 400 	 88.1968247514591 	 400 	 91.4894195447555 	 400 	 85.4984711872537 	 400 	 88.8220765581835 	 400 	 92.1538213758437 	 400 	 91.0433153581716 	 400 	 92.3418343913306 	 400 	 92.1491370674974 	 400 	 88.1581595744379 	 400 	 88.9957410807537 	 400 	 89.0925896869807 	 400 	 89.2324069361288 	 400 	 91.4319502012858 	 400 	 89.4775674229136 	 400 	 89.5611152689363 	 400 	 89.4522336261246 	 400 	 90.4935180573274 	 400 	 92.6696049199722 	 400 	 87.5553065218097 	 400 	 93.5822597820967 	 400 	 92.1156464946742 	 400 	 91.1505545745371 	 400 	 89.4732184694231 	 400 	 88.6979813549796 	 400 	 89.6463753213545 	 400 	 89.2645336599798 	 400 	 87.0851044075848 	 400 	 91.2593736484827 	 400 	 80.2800760694074 	 400 	 92.3425698431247 	 400 	 91.1428328608893 	 400 	 85.3390129423179 	 400 	 92.6897536195061 	 400 	 91.697092806517 	 400 	 89.3911817351228 	 400 	 91.0654323733252 	 400 	 89.6194034088235 	 400 	 91.6109217358485 
 400.875 	 89.8863598728562 	 400.875 	 89.5419134877952 	 400.777777777778 	 87.1148495388795 	 400.875 	 90.6327831794114 	 400.5 	 84.4852292985478 	 400.538461538462 	 87.9567431667245 	 401.166666666667 	 91.2685375237558 	 400.875 	 90.172150067025 	 401.166666666667 	 91.4816275229056 	 401.75 	 91.2299607756817 	 400.636363636364 	 87.2611589546071 	 400.777777777778 	 88.0683155004843 	 400.7 	 88.2005888807888 	 400.7 	 88.3707992461823 	 401 	 90.5917467041224 	 400.777777777778 	 88.5824030371914 	 400.875 	 88.6675159835424 	 401 	 88.5336706535058 	 400.777777777778 	 89.6764642814366 	 401.166666666667 	 91.8233001193145 	 400.636363636364 	 86.7449971012073 	 401.4 	 92.7993564909243 	 400.875 	 91.3129105247737 	 401.166666666667 	 90.2896644472262 	 400.7 	 88.5985470913197 	 400.636363636364 	 87.8429690728783 	 400.7 	 88.7637431184251 	 400.7 	 88.4438861013176 	 400.777777777778 	 86.0981414602515 	 401.166666666667 	 90.5000117796276 	 400.368421052632 	 79.2735221093844 	 401.166666666667 	 91.4495412063381 	 400.875 	 90.3484144254241 	 400.5 	 84.4185274369269 	 401.4 	 91.9750561990692 	 400.875 	 90.9120637449298 	 400.777777777778 	 88.4521130168918 	 400.875 	 90.2467958519068 	 400.875 	 88.7505896356861 	 400.875 	 90.8230749570277 
 401.75 	 88.9048526485191 	 401.75 	 88.506338997538 	 401.555555555556 	 85.8953490647586 	 401.75 	 89.6273525123586 	 401 	 83.3885919496912 	 401.076923076923 	 87.0045435572035 	 402.333333333333 	 90.1851739140596 	 401.75 	 89.158773067421 	 402.333333333333 	 90.4344373805594 	 403.5 	 89.9902275334106 	 401.272727272727 	 86.2670202638741 	 401.555555555556 	 87.0221073143445 	 401.4 	 87.2019995177119 	 401.4 	 87.4042815281456 	 402 	 89.5970395064963 	 401.555555555556 	 87.5659926188414 	 401.75 	 87.6391705626984 	 402 	 87.4427371874024 	 401.555555555556 	 88.7457828206345 	 402.333333333333 	 90.7800206296861 	 401.272727272727 	 85.8542411418253 	 402.8 	 91.8003818858011 	 401.75 	 90.378967336572 	 402.333333333333 	 89.2530676421517 	 401.4 	 87.6196420204944 	 401.272727272727 	 86.8958116750092 	 401.4 	 87.7710686234528 	 401.4 	 87.5263342283649 	 401.555555555556 	 84.9923578939436 	 402.333333333333 	 89.5844815229322 	 400.736842105263 	 78.2113072363916 	 402.333333333333 	 90.3656393112329 	 401.75 	 89.4315466322403 	 401 	 83.428590417346 	 402.8 	 91.0691514172119 	 401.75 	 90.0006979641564 	 401.555555555556 	 87.3857096674728 	 401.75 	 89.3006667331828 	 401.75 	 87.7568627450545 	 401.75 	 89.9048786298117 
 402.625 	 87.7674267947114 	 402.625 	 87.3213574967875 	 402.333333333333 	 84.5309494161103 	 402.625 	 88.4484012909307 	 401.5 	 82.2050800811061 	 401.615384615385 	 85.9581878052458 	 403.5 	 88.8654037842375 	 402.625 	 87.9824857188753 	 403.5 	 89.1639528294775 	 405.25 	 88.3495700074176 	 401.909090909091 	 85.1683597689086 	 402.333333333333 	 85.8452810308766 	 402.1 	 86.0859674935561 	 402.1 	 86.3217305848131 	 403 	 88.4220369160796 	 402.333333333333 	 86.4142048904659 	 402.625 	 86.458861153821 	 403 	 86.1562795098409 	 402.333333333333 	 87.687061952969 	 403.5 	 89.4976360316355 	 401.909090909091 	 84.8766636494326 	 404.2 	 90.5322735756041 	 402.625 	 89.2943104694746 	 403.5 	 88.0149131556003 	 402.1 	 86.525748456954 	 401.909090909091 	 85.8484817387542 	 402.1 	 86.6572039901318 	 402.1 	 86.5019735660691 	 402.333333333333 	 83.758242299167 	 403.5 	 88.4888338878916 	 401.105263157895 	 77.0923433140907 	 403.5 	 89.0563942219012 	 402.625 	 88.3756293838783 	 401.5 	 82.3662472629139 	 404.2 	 89.9332204705833 	 402.625 	 88.9437188529884 	 402.333333333333 	 86.179686858551 	 402.625 	 88.2095591041137 	 402.625 	 86.6232125840341 	 402.625 	 88.8365912680146 
 403.5 	 86.4525120408327 	 403.5 	 85.9754952185726 	 403.111111111111 	 83.0189572674933 	 403.5 	 87.0680663500537 	 402 	 80.9322217498144 	 402.153846153846 	 84.8104337130558 	 404.666666666667 	 87.26615115384 	 403.5 	 86.621031542542 	 404.666666666667 	 87.628124357237 	 407 	 86.2064975168634 	 402.545454545455 	 83.9585075323206 	 403.111111111111 	 84.5260464665674 	 402.8 	 84.8413177895694 	 402.8 	 85.1115197205088 	 404 	 87.0372804574893 	 403.111111111111 	 85.1122266560276 	 403.5 	 85.1080508496624 	 404 	 84.650797749895 	 403.111111111111 	 86.4846788662194 	 404.666666666667 	 87.9265874605596 	 402.545454545455 	 83.8057261779679 	 405.6 	 88.9291935140409 	 403.5 	 88.0378553473385 	 404.666666666667 	 86.548607980649 	 402.8 	 85.3057271175145 	 402.545454545455 	 84.6929785415687 	 402.8 	 85.4111596507028 	 402.8 	 85.3604022538113 	 403.111111111111 	 82.3871613949 	 404.666666666667 	 87.185532692446 	 401.473684210526 	 75.915984150699 	 404.666666666667 	 87.4844598814853 	 403.5 	 87.1625883872416 	 402 	 81.2290274386313 	 405.6 	 88.5192703919845 	 403.5 	 87.719392203704 	 403.111111111111 	 84.8228499835934 	 403.5 	 86.9545228191949 	 403.5 	 85.3336236465046 	 403.5 	 87.5963243330957 
 404.375 	 84.937319569681 	 404.375 	 84.4618875508822 	 403.888888888889 	 81.3639999490645 	 404.375 	 85.4560399549163 	 402.5 	 79.5689479901583 	 402.692307692308 	 83.554368126158 	 405.833333333333 	 85.3428373720447 	 404.375 	 85.0516907098998 	 405.833333333333 	 85.7805428776201 	 407.7 	 85.1825321630815 	 403.181818181818 	 82.6321429832458 	 403.888888888889 	 83.0533172902311 	 403.5 	 83.4569421062311 	 403.5 	 83.7618662623469 	 405 	 85.4101527490596 	 403.888888888889 	 83.645142392301 	 404.375 	 83.5674890815119 	 405 	 82.905379793103 	 403.888888888889 	 85.1221394070404 	 405.833333333333 	 86.0120133469395 	 403.181818181818 	 82.6348613126244 	 407 	 86.913076099287 	 404.375 	 86.5878641879557 	 405.833333333333 	 84.8302756151424 	 403.5 	 83.9483983963246 	 403.181818181818 	 83.4216625466299 	 403.5 	 84.0228385147596 	 403.5 	 84.0909662658191 	 403.888888888889 	 80.8722642812103 	 405.833333333333 	 85.6440836172519 	 401.842105263158 	 74.6821287362777 	 405.833333333333 	 85.6131243667404 	 404.375 	 85.7733800083053 	 402.5 	 80.0151234756253 	 407 	 86.7697508957704 	 404.375 	 86.3037486065269 	 403.888888888889 	 83.3064836478782 	 404.375 	 85.5157585559913 	 404.375 	 83.8715981774196 	 404.375 	 86.1606457170231 
 405.25 	 83.1992015814632 	 405.25 	 82.7817197511115 	 404.666666666667 	 79.5811153658085 	 405.25 	 83.5812189836178 	 403 	 78.1160500883575 	 403.230769230769 	 82.1837813866122 	 407 	 83.0557189234158 	 405.25 	 83.2532704487935 	 407 	 83.573363722405 	 408.4 	 84.051655592875 	 403.818181818182 	 81.1861221601933 	 404.666666666667 	 81.4176198009353 	 404.2 	 81.9223584841562 	 404.2 	 82.2613568284271 	 406 	 83.5061270736601 	 404.666666666667 	 81.9988407663067 	 405.25 	 81.818306102868 	 406 	 80.9064926494483 	 404.666666666667 	 83.5826792886698 	 407 	 83.6991311420292 	 403.818181818182 	 81.3576529614579 	 407.583333333333 	 85.930849032419 	 405.25 	 84.9236446972827 	 407 	 82.8440375863852 	 404.2 	 82.4430420381869 	 403.818181818182 	 82.0277063768345 	 404.2 	 82.4840758334983 	 404.2 	 82.6831268331947 	 404.666666666667 	 79.2096811155068 	 407 	 83.8319146474919 	 402.210526315789 	 73.3913341389412 	 407 	 83.412323439967 	 405.25 	 84.1889528083679 	 403 	 78.7235945055888 	 407.636363636364 	 85.84600720211 	 405.25 	 84.6712347248128 	 404.666666666667 	 81.6262370603703 	 405.25 	 83.8737537560428 	 405.25 	 82.2210775158338 	 405.25 	 84.5058505391907 
 406.125 	 81.2176790654634 	 406.125 	 80.9482933159193 	 405.444444444444 	 77.6989926962397 	 406.125 	 81.4145486702149 	 403.5 	 76.5766852946951 	 403.769230769231 	 80.6936474297839 	 407.583333333333 	 81.7674940879257 	 406.125 	 81.2090389812466 	 407.538461538462 	 82.4211353663357 	 409.1 	 82.8064688503881 	 404.454545454545 	 79.6205049160826 	 405.444444444444 	 79.6123849099715 	 404.9 	 80.2285059830517 	 404.9 	 80.5997241163794 	 407 	 81.2911024214856 	 405.444444444444 	 80.1614420775905 	 406.125 	 79.8434615244397 	 407 	 78.6550212353978 	 405.444444444444 	 81.850315832655 	 407.538461538462 	 82.4846138305668 	 404.454545454545 	 79.9680710421111 	 408.166666666667 	 84.8558799141168 	 406.125 	 83.0280515059539 	 407.7 	 81.5230460731281 	 404.9 	 80.7801108301198 	 404.454545454545 	 80.5056788213132 	 404.9 	 80.7900594318401 	 404.9 	 81.1270062658275 	 405.444444444444 	 77.4001388142859 	 407.583333333333 	 82.8141701756752 	 402.578947368421 	 72.0449361186541 	 407.636363636364 	 82.0672980620291 	 406.125 	 82.3915607129506 	 403.5 	 77.3545910151615 	 408.272727272727 	 84.8328145179614 	 406.125 	 82.7957390144435 	 405.444444444444 	 79.7846045188914 	 406.125 	 82.0108444475173 	 406.125 	 80.3676029625705 	 406.125 	 82.6099435098704 
 407 	 78.977805966664 	 407 	 78.9916042327366 	 406.222222222222 	 75.7620899271001 	 407 	 78.9339939983361 	 404 	 74.9569057371171 	 404.307692307692 	 79.0807163703649 	 408.166666666667 	 80.3819938220268 	 407 	 78.911242467302 	 408.076923076923 	 81.1796657028533 	 409.8 	 81.4404195260786 	 405.090909090909 	 77.9398191848429 	 406.222222222222 	 77.6351325978261 	 405.6 	 78.3687463548836 	 405.6 	 78.7688642012426 	 407.4375 	 80.2164461162525 	 406.222222222222 	 78.1248541166481 	 407 	 77.6301268548283 	 407.7 	 76.9408752119763 	 406.222222222222 	 79.9110182608266 	 408.076923076923 	 81.1734184867293 	 405.090909090909 	 78.4608165198419 	 408.75 	 83.6823812086975 	 407 	 80.891347486671 	 408.4 	 80.1099495102404 	 405.6 	 78.9521307017415 	 405.090909090909 	 78.8523253168575 	 405.6 	 78.9410868412655 	 405.6 	 79.4140869871956 	 406.222222222222 	 75.4504496482648 	 408.166666666667 	 81.7169134225026 	 402.947368421053 	 70.6451744159764 	 408.272727272727 	 80.6211778057523 	 407 	 80.3669542092703 	 404 	 75.9095946105686 	 408.909090909091 	 83.7235203428633 	 407 	 80.6525879879342 	 406.222222222222 	 77.7934042309095 	 407 	 79.9137301620273 	 407 	 78.3002509513402 	 407 	 80.4559783851628 
 407.466666666667 	 77.6753794335123 	 408 	 76.6702827645912 	 407 	 73.8315095500776 	 407.4375 	 77.57282686294 	 404.5 	 73.2661702146189 	 404.846153846154 	 77.3442382881024 	 408.75 	 78.901994940985 	 407.538461538462 	 77.3734798483928 	 408.615384615385 	 79.8466033810937 	 410.5 	 79.9484478843887 	 405.727272727273 	 76.1542503761652 	 407 	 75.4894454722912 	 406.3 	 76.3399968979007 	 406.3 	 76.7640392350611 	 407.875 	 79.0746201966635 	 407 	 75.8874174400327 	 407.4375 	 76.4319462689449 	 408.4 	 75.1329777733841 	 407 	 77.7549360694949 	 408.615384615385 	 79.765266832185 	 405.727272727273 	 76.8315782091398 	 409.333333333333 	 82.4052945945191 	 407.538461538462 	 79.4571282309472 	 409.1 	 78.6138783236449 	 406.3 	 76.9547198950676 	 405.727272727273 	 77.0673088962573 	 406.3 	 76.9445025530663 	 406.3 	 77.5380059585139 	 407 	 73.3757547203496 	 408.75 	 80.5368030198284 	 403.315789473684 	 69.1953183866553 	 408.909090909091 	 79.0788289594985 	 407.5 	 79.1046702293399 	 404.5 	 74.3916631383183 	 409.545454545455 	 82.5115920485868 	 407.411764705882 	 79.5454107018346 	 407 	 75.6768058624579 	 407.466666666667 	 78.697165121755 	 407.5 	 77.020694193994 	 407.5 	 79.1059678366879 
