Wavelength (nm)	Reflectance (%)	Transmittance (%)	Density 
 400	 32.3147049288817	 59.7619617821991	 .223575154546078
 400.2	 32.3760002756229	 59.7042715475123	 .223994596121046
 400.4	 32.4384723166038	 59.6454588341766	 .224422616173596
 400.6	 32.5021209021838	 59.5855288852288	 .224859201474423
 400.8	 32.5669449535686	 59.5244877938768	 .225304332995741
 401	 32.6329424687739	 59.4623424932868	 .225757985950633
 401.2	 32.7001105295974	 59.3991007454995	 .226220129837386
 401.4	 32.7684453095786	 59.3347711294976	 .226690728488724
 401.6	 32.8379420829289	 59.2693630284484	 .227169740125862
 401.8	 32.9085952344125	 59.2028866161454	 .227657117417279
 402	 32.9803982701533	 59.1353528426762	 .228152807542092
 402.2	 33.053343829347	 59.0667734193439	 .228656752257963
 402.4	 33.12742369685	 58.9971608028704	 .229168887973377
 402.6	 33.2026288166206	 58.9265281789108	 .229689145824217
 402.8	 33.2789493059826	 58.8548894449122	 .230217451754481
 403	 33.3563744706832	 58.7822591923448	 .230753726601035
 403.2	 33.4348928207134	 58.7086526883417	 .231297886182252
 403.4	 33.5144920868591	 58.6340858567779	 .231849841390418
 403.6	 33.5951592379515	 58.5585752588244	 .232409498287744
 403.8	 33.6768804987811	 58.4821380730102	 .232976758205867
 404	 33.7596413686425	 58.4047920748291	 .233551517848673
 404.2	 33.8434266404733	 58.3265556159247	 .234133669398288
 404.4	 33.9282204205528	 58.2474476028909	 .23472310062412
 404.6	 34.0140061487226	 58.1674874757224	 .235319694994748
 404.8	 34.1007480346584	 58.0866563551644	 .23592362211725
 405	 34.1884292433975	 58.004973697276	 .236534765804802
 405.2	 34.2770503232652	 57.9224988607645	 .237152710311751
 405.4	 34.3665923453255	 57.8392531310702	 .237777323651789
 405.6	 34.4570358190447	 57.75525821823	 .23840847011625
 405.8	 34.5483607147794	 57.6705362340417	 .239046010399357
 406	 34.6405464865328	 57.5851096691213	 .239689801725258
 406.2	 34.7335720949416	 57.4990013698866	 .240339697976699
 406.4	 34.8274160304578	 57.4122345155025	 .240995549825166
 406.6	 34.9220563366889	 57.3248325948194	 .241657204862347
 406.8	 35.0174706338611	 57.2368193833366	 .242324507732753
 407	 35.1136361423696	 57.1482189202239	 .242997300267337
 407.2	 35.2105297063827	 57.05905548543	 .24367542161797
 407.4	 35.3081278174643	 56.9693535769084	 .244358708392616
 407.6	 35.4064066381838	 56.8791378879904	 .245046994791054
 407.8	 35.5053420256791	 56.7884332849312	 .245740112740997
 408	 35.6049095551429	 56.6972647846569	 .246437892034487
 408.2	 35.7050845432011	 56.605657532739	 .247140160464384
 408.4	 35.8058420711542	 56.5136367816193	 .247846743960853
 408.6	 35.9071570080534	 56.4212278691103	 .248557466727683
 408.8	 36.0090040335839	 56.3284561971928	 .249272151378319
 409	 36.1113576607287	 56.2353472111323	 .249990619071478
 409.2	 36.2141922581892	 56.1419263789338	 .250712689646226
 409.4	 36.3174820725373	 56.0482191711546	 .251438181756383
 409.6	 36.4212012500765	 55.9542510410929	 .252166913004158
 409.8	 36.5253238583912	 55.8600474053677	 .252898700072879
 410	 36.6298239075627	 55.7656336249061	 .253633358858733
 410.2	 36.7346753710339	 55.6710349863526	 .254370704601387
 410.4	 36.8398522061038	 55.5762766839128	 .255110552013407
 410.6	 36.945328374036	 55.4813838016421	 .25585271540837
 410.8	 37.0510778597643	 55.3863812961931	 .256597008827573
 411	 37.1570746911831	 55.2912939800269	 .257343246165271
 411.2	 37.2632929580079	 55.1961465051014	 .258091241292328
 411.4	 37.3697068301949	 55.1009633470394	 .258840808178232
 411.6	 37.4762905759085	 55.0057687897853	 .259591761011383
 411.8	 37.5830185790275	 54.9105869107543	 .260343914317581
 412	 37.6898653561817	 54.8154415664791	 .261097083076668
 412.2	 37.7968055733111	 54.7203563787553	 .26185108283723
 412.4	 37.9038140617424	 54.6253547212894	 .262605729829331
 412.6	 38.0108658337767	 54.5304597068496	 .263360841075208
 412.8	 38.1179360977846	 54.435694174919	 .264116234497881
 413	 38.2250002728069	 54.3410806798513	 .264871729027637
 413.2	 38.3320340026566	 54.2466414795275	 .26562714470634
 413.4	 38.4390131695223	 54.15239852451	 .266382302789534
 413.6	 38.5459139070736	 54.0583734476926	 .2671370258463
 413.8	 38.6527126130668	 53.964587554441	 .267891137856852
 414	 38.7593859614548	 53.8710618132202	 .26864446430781
 414.2	 38.8659109140017	 53.7778168467029	 .269396832285177
 414.4	 38.9722647314059	 53.6848729233541	 .270148070564958
 414.6	 39.0784249839353	 53.5922499494835	 .270898009701426
 414.8	 39.1843695615789	 53.4999674617613	 .271646482113011
 415	 39.2900766837201	 53.4080446201874	 .272393322165821
 415.2	 39.3955249083366	 53.3165002015082	 .273138366254759
 415.4	 39.5006931407342	 53.2253525930708	 .27388145288226
 415.6	 39.6055606418205	 53.1346197871075	 .274622422734627
 415.8	 39.7101070359255	 53.0443193754407	 .275361118755979
 416	 39.8143123181776	 52.9544685445979	 .27609738621981
 416.2	 39.9181568614424	 52.8650840713296	 .276831072798161
 416.4	 40.0216214228329	 52.7761823185172	 .27756202862843
 416.6	 40.1246871498001	 52.6877792314634	 .278290106377804
 416.8	 40.2273355858126	 52.5998903345525	 .279015161305355
 417	 40.3295486756351	 52.5125307282718	 .279737051321793
 417.2	 40.4313087702153	 52.4257150865835	 .280455637046896
 417.4	 40.5325986311886	 52.3394576546339	 .281170781864654
 417.6	 40.633401435011	 52.2537722467936	 .281882351976115
 417.8	 40.7337007767296	 52.1686722450135	 .282590216449984
 418	 40.8334806734029	 52.0841705974886	 .283294247270976
 418.2	 40.932725567178	 52.0002798176178	 .283994319385963
 418.4	 41.0314203280382	 51.917011983249	 .284690310747926
 418.6	 41.1295502562296	 51.8343787361991	 .285382102357752
 418.8	 41.2271010843771	 51.7523912820383	 .286069578303886
 419	 41.3240589793015	 51.6710603901273	 .286752625799887
 419.2	 41.4204105435468	 51.590396393899	 .287431135219895
 419.4	 41.5161428166284	 51.5104091913724	 .288105000132056
 419.6	 41.6112432760122	 51.4311082458893	 .288774117329918
 419.8	 41.7056998378355	 51.3525025870651	 .289438386861851
 420	 41.7995008648864	 51.2746008036149	 .290097712129019
 420.2	 41.8926857409963	 51.197369427419	 .290752352940295
 420.4	 41.9851945802281	 51.1208566419637	 .291401877233055
 420.6	 42.0770169864394	 51.0450698282646	 .292046197745086
 420.8	 42.1681430012193	 50.9700159418614	 .292685230577246
 421	 42.2585631033282	 50.8957015147863	 .293318895212139
 421.2	 42.348268207943	 50.8221326576833	 .293947114531022
 421.4	 42.4372496657193	 50.7493150620685	 .294569814828965
 421.6	 42.5254992616777	 50.6772540027271	 .29518692582831
 421.8	 42.6130092139208	 50.605954340235	 .295798380690445
 422	 42.6997721721931	 50.5354205236013	 .296404116025934
 422.2	 42.7857812162878	 50.4656565930224	 .297004071903032
 422.4	 42.8710298543097	 50.3966661827423	 .297598191854607
 422.6	 42.9555120208014	 50.3284525240108	 .298186422883508
 422.8	 43.0392220747402	 50.2610184481358	 .2987687154664
 423	 43.1221547974112	 50.1943663896209	 .299345023556106
 423.2	 43.2043053901651	 50.1284983893846	 .299915304582471
 423.4	 43.2856694720652	 50.0634160980553	 .300479519451785
 423.6	 43.3662430774301	 49.9991207793362	 .30103763254478
 423.8	 43.4460226532783	 49.9356133134354	 .301589611713256
 424	 43.5250050566801	 49.8728942005579	 .302135428275318
 424.2	 43.603187552021	 49.8109635644528	 .30267505700929
 424.4	 43.6805678081828	 49.7498211560142	 .303208476146311
 424.6	 43.7571438956457	 49.68946635693	 .303735667361634
 424.8	 43.8329142835174	 49.6298981833758	 .304256615764664
 425	 43.9078778364914	 49.5711152897514	 .30477130988775
 425.2	 43.9817463011245	 49.5133860498199	 .305277372750148
 425.4	 44.054807467074	 49.4564377339838	 .305777168366738
 425.6	 44.1270613665628	 49.4002679365191	 .306270695549305
 425.8	 44.1985084141414	 49.3448739056168	 .306757956472244
 426	 44.2691494033586	 49.2902525472791	 .307238956655405
 426.2	 44.3389855033812	 49.2364004292431	 .307713704945827
 426.4	 44.4080182555651	 49.1833137849307	 .308182213498359
 426.6	 44.47624956998	 49.1309885174228	 .308644497755202
 426.8	 44.5436817218901	 49.0794202034573	 .309100576424382
 427	 44.6103173481905	 49.0286040974491	 .30955047145717
 427.2	 44.6761594438037	 48.9785351355325	 .309994208024462
 427.4	 44.7412113580338	 48.9292079396251	 .310431814492143
 427.6	 44.8054767908824	 48.8806168215123	 .310863322395435
 427.8	 44.8689597893253	 48.8327557869533	 .311288766412247
 428	 44.9316647435503	 48.7856185398069	 .311708184335564
 428.2	 44.9935963831574	 48.7391984861805	 .312121617044835
 428.4	 45.0547597733218	 48.6934887385983	 .312529108476426
 428.6	 45.1151603109175	 48.6484821201937	 .312930705593119
 428.8	 45.174803720604	 48.6041711689232	 .313326458352669
 429	 45.2336960508744	 48.5605481418033	 .313716419675449
 429.2	 45.291843670064	 48.5176050191743	 .314100645411161
 429.4	 45.3492532623199	 48.4753335089867	 .314479194304661
 429.6	 45.4059318235295	 48.4337250511162	 .314852127960864
 429.8	 45.4618866572083	 48.3927708217063	 .315219510808785
 430	 45.5171253703447	 48.3524617375397	 .315581410064677
 430.2	 45.5716558692021	 48.3127884604412	 .315937895694312
 430.4	 45.6254863550745	 48.2737414017125	 .316289040374392
 430.6	 45.6786253199977	 48.2353107266016	 .316634919453102
 430.8	 45.7310815424115	 48.1974863588071	 .316975610909817
 431	 45.7828640827731	 48.1602579850203	 .317311195313964
 431.2	 45.8339822791194	 48.1236150595067	 .317641755783053
 431.4	 45.8844457425772	 48.0875468087286	 .317967377939869
 431.6	 45.9342643528179	 48.0520422360095	 .318288149868862
 431.8	 45.9834482534579	 48.0170901262455	 .318604162071697
 432	 46.0320078473985	 47.9826790506613	 .31891550742202
 432.2	 46.0799537921088	 47.9487973716155	 .319222281119409
 432.4	 46.1272969948444	 47.9154332474573	 .319524580642535
 432.6	 46.1740486078037	 47.8825746374347	 .319822505701532
 432.8	 46.220220023219	 47.8502093066568	 .320116158189599
 433	 46.2658228683786	 47.8183248311135	 .320405642133809
 433.2	 46.3108690005811	 47.7869086027523	 .320691063645174
 433.4	 46.3553705020183	 47.7559478346152	 .320972530867937
 433.6	 46.3993396745837	 47.7254295660364	 .321250153928122
 433.8	 46.4427890346084	 47.6953406679051	 .32152404488134
 434	 46.485731307518	 47.6656678479912	 .32179431765986
 434.2	 46.5281794224136	 47.6363976563378	 .322061088018965
 434.4	 46.5701465065712	 47.6075164907228	 .322324473482578
 434.6	 46.6116458798605	 47.5790106021876	 .322584593288201
 434.8	 46.6526910490807	 47.5508661006382	 .322841568331145
 435	 46.6932957022119	 47.5230689605163	 .323095521108083
 435.2	 46.7334737025816	 47.4956050265443	 .323346575659932
 435.4	 46.773239082944	 47.4684600195432	 .323594857514066
 435.6	 46.8126060394713	 47.4416195423247	 .323840493625894
 435.8	 46.8515889280596	 47.4150690835817	 .324083612338811
 436	 46.8902399315072	 47.3887486149123	 .324324759475612
 436.2	 46.9285337506634	 47.3626911979118	 .324563628514935
 436.4	 46.9664851337955	 47.3368820530248	 .324800351218107
 436.6	 47.0041089632993	 47.3113063111919	 .325035060492757
 436.8	 47.0414202491849	 47.2859490201694	 .32526789033105
 437	 47.0787131816903	 47.260496217343	 .32550172275184
 437.2	 47.1158852971266	 47.235061282375	 .325735516857366
 437.4	 47.1528036561487	 47.2097884135623	 .325967946000185
 437.6	 47.1894832689785	 47.1846628647275	 .326199143646311
 437.8	 47.2259392272332	 47.1596698495006	 .326429243929832
 438	 47.2621866971679	 47.134794547771	 .326658381591232
 438.2	 47.2982409128387	 47.1100221122011	 .326886691915351
 438.4	 47.3341171691923	 47.0853376748002	 .327114310669007
 438.6	 47.3698308150797	 47.060726353557	 .327341374038296
 438.8	 47.405397246198	 47.036173259127	 .327568018565596
 439	 47.4408318979619	 47.0116635015753	 .327794381086311
 439.2	 47.4761502383064	 46.9871821971701	 .328020598665354
 439.4	 47.5113677604238	 46.9627144752258	 .328246808533416
 439.6	 47.5464999754375	 46.9382454849919	 .328473148023053
 439.8	 47.5815624050148	 46.9137604025859	 .328699754504578
 440	 47.6165705739228	 46.8892444379661	 .328926765321842
 440.2	 47.6515400025294	 46.8646828419409	 .32915431772789
 440.4	 47.6864861992538	 46.8400609132123	 .329382548820537
 440.6	 47.7214246529697	 46.8153640054487	 .329611595477894
 440.8	 47.7563708253649	 46.7905775343826	 .329841594293874
 441	 47.7913401432615	 46.7656869849319	 .330072681513711
 441.2	 47.8263479909015	 46.7406779183364	 .330304992969517
 441.4	 47.8614097022009	 46.7155359793093	 .330538664015922
